,0,Jun 2022,          11.3%        ,10.0%,Unnamed: 4
191,7.0,Nov 2021,          9.6%        ,8.3%,
192,8.0,Oct 2021,          8.6%        ,8.6%,
193,9.0,Sep 2021,          8.6%        ,8.7%,
194,10.0,Aug 2021,          8.3%        ,7.8%,
195,11.0,Jul 2021,          7.8%        ,7.3%,
196,12.0,Jun 2021,          7.3%        ,7.1%,
197,13.0,May 2021,          6.6%        ,7.2%,
198,14.0,Apr 2021,          6.2%        ,4.9%,
199,15.0,Mar 2021,          4.2%        ,3.7%,
200,16.0,Feb 2021,          2.8%        ,2.4%,
201,17.0,Jan 2021,          1.7%        ,0.7%,
202,18.0,Dec 2020,          0.8%        ,0.4%,
203,19.0,Nov 2020,          0.8%        ,1.0%,
204,20.0,Oct 2020,          0.5%        ,1.0%,
205,21.0,Sep 2020,          0.4%        ,-0.1%,
206,22.0,Aug 2020,          -0.2%        ,-0.3%,
207,23.0,Jul 2020,          -0.4%        ,-0.3%,
208,24.0,Jun 2020,          -0.8%        ,-1.0%,
209,25.0,May 2020,          -0.8%        ,-0.3%,
210,26.0,Apr 2020,          -1.2%        ,1.0%,
211,27.0,Mar 2020,          0.7%        ,1.0%,
212,28.0,Feb 2020,          1.3%        ,2.4%,
213,29.0,Jan 2020,          2.1%        ,1.6%,
214,30.0,Dec 2019,          1.3%        ,1.0%,
215,31.0,Nov 2019,          1.1%        ,0.4%,
216,32.0,Oct 2019,          1.1%        ,0.9%,
217,33.0,Sep 2019,          1.4%        ,2.2%,
218,34.0,Aug 2019,          1.8%        ,2.1%,
219,35.0,Jul 2019,          1.7%        ,1.2%,
220,36.0,Jun 2019,          1.7%        ,1.4%,
221,37.0,May 2019,          1.8%        ,2.2%,
222,38.0,Apr 2019,          2.2%        ,2.4%,
223,39.0,Mar 2019,          2.2%        ,1.6%,
224,40.0,Feb 2019,          1.9%        ,1.4%,
225,41.0,Jan 2019,          2.0%        ,2.0%,
226,42.0,Dec 2018,          2.5%        ,2.8%,
227,43.0,Nov 2018,          2.5%        ,2.6%,
228,44.0,Oct 2018,          2.9%        ,1.9%,
229,45.0,Sep 2018,          2.6%        ,2.5%,
230,46.0,Aug 2018,          2.8%        ,3.4%,
231,47.0,Jul 2018,          3.3%        ,3.2%,
232,48.0,Jun 2018,          3.4%        ,2.7%,
233,49.0,May 2018,          3.1%        ,2.7%,
234,50.0,Apr 2018,          2.6%        ,3.1%,
235,51.0,Mar 2018,          3.0%        ,2.7%,
236,52.0,Feb 2018,          2.8%        ,2.3%,
237,53.0,Jan 2018,          2.7%        ,2.2%,
238,54.0,Dec 2017,          2.6%        ,2.8%,
239,55.0,Nov 2017,          3.1%        ,3.0%,
240,56.0,Oct 2017,          2.8%        ,2.9%,
241,57.0,Sep 2017,          2.6%        ,2.6%,
242,58.0,Aug 2017,          2.4%        ,1.8%,
243,59.0,Jul 2017,          1.9%        ,1.7%,
244,60.0,Jun 2017,          2.0%        ,2.1%,
245,61.0,May 2017,          2.4%        ,2.6%,
246,62.0,Apr 2017,          2.5%        ,2.5%,
247,63.0,Mar 2017,          2.3%        ,,
248,64.0,Feb 2017,          2.2%        ,,
249,65.0,Jan 2017,          1.6%        ,,
250,66.0,Dec 2016,          1.6%        ,,
251,67.0,Nov 2016,          1.3%        ,,
252,68.0,Oct 2016,          0.8%        ,,
253,69.0,Sep 2016,          0.7%        ,,
254,70.0,Aug 2016,          0.0%        ,,
255,71.0,Jul 2016,          -0.2%        ,,
256,72.0,Jun 2016,          0.3%        ,,
257,73.0,May 2016,          -0.1%        ,,
258,74.0,Apr 2016,          0.0%        ,,
259,75.0,Mar 2016,          -0.1%        ,,
260,76.0,Feb 2016,          0.0%        ,,
261,77.0,Jan 2016,          -0.2%        ,,
262,78.0,Dec 2015,          -1.0%        ,,
263,79.0,Nov 2015,          -1.1%        ,,
264,80.0,Oct 2015,          -1.6%        ,,
265,81.0,Sep 2015,          -1.1%        ,,
266,82.0,Aug 2015,          -0.8%        ,,
267,83.0,Jul 2015,          -0.8%        ,,
268,84.0,Jun 2015,          -0.7%        ,,
269,85.0,May 2015,          -1.1%        ,,
270,86.0,Apr 2015,          -1.3%        ,,
271,87.0,Mar 2015,          -0.8%        ,,
272,88.0,Feb 2015,          -0.6%        ,,
273,89.0,Jan 2015,          0.0%        ,,
274,90.0,Dec 2014,          1.1%        ,,
275,91.0,Nov 2014,          1.4%        ,,
276,92.0,Oct 2014,          1.5%        ,,
277,93.0,Sep 2014,          1.6%        ,,
278,94.0,Aug 2014,          1.8%        ,,
279,95.0,Jul 2014,          1.7%        ,,
280,96.0,Jun 2014,          1.9%        ,,
281,97.0,May 2014,          2.0%        ,,
282,98.0,Apr 2014,          2.1%        ,,
283,99.0,Mar 2014,          1.4%        ,,
284,100.0,Feb 2014,          0.9%        ,,
285,101.0,Jan 2014,          1.2%        ,,
286,102.0,Dec 2013,          1.2%        ,,
287,103.0,Nov 2013,          0.7%        ,,
288,104.0,Oct 2013,          0.3%        ,,
289,105.0,Sep 2013,          0.3%        ,,
290,106.0,Aug 2013,          1.4%        ,,
291,107.0,Jul 2013,          2.1%        ,,
292,108.0,Jun 2013,          2.5%        ,,
293,109.0,May 2013,          1.7%        ,,
294,110.0,Apr 2013,          0.6%        ,,
295,111.0,Mar 2013,          1.1%        ,,
296,112.0,Feb 2013,          1.7%        ,,
297,113.0,Jan 2013,          1.4%        ,,
298,114.0,Dec 2012,          1.3%        ,,
299,115.0,Nov 2012,          1.5%        ,,
300,116.0,Oct 2012,          2.3%        ,,
301,117.0,Sep 2012,          2.1%        ,,
302,118.0,Aug 2012,          2.0%        ,,
303,119.0,Jul 2012,          0.5%        ,,
304,120.0,Jun 2012,          0.7%        ,,
305,121.0,May 2012,          0.7%        ,,
306,122.0,Apr 2012,          1.9%        ,,
307,123.0,Mar 2012,          2.8%        ,,
308,124.0,Feb 2012,          3.3%        ,,
309,125.0,Jan 2012,          4.1%        ,,
310,126.0,Dec 2011,          4.8%        ,,
311,127.0,Nov 2011,          5.7%        ,,
312,128.0,Oct 2011,          5.9%        ,,
313,129.0,Sep 2011,          6.9%        ,,
314,130.0,Aug 2011,          6.5%        ,,
315,131.0,Jul 2011,          7.2%        ,,
316,132.0,Jun 2011,          7.0%        ,,
317,133.0,May 2011,          7.3%        ,,
318,134.0,Apr 2011,          6.8%        ,,
319,135.0,Mar 2011,          5.8%        ,,
320,136.0,Feb 2011,          5.6%        ,,
321,137.0,Jan 2011,          3.6%        ,,
322,138.0,Dec 2010,          4.0%        ,,
323,139.0,Nov 2010,          3.5%        ,,
324,140.0,Oct 2010,          4.3%        ,,
325,141.0,Sep 2010,          4.0%        ,,
326,142.0,Aug 2010,          3.1%        ,,
327,143.0,Jul 2010,          4.2%        ,,
328,144.0,Jun 2010,          2.8%        ,,
329,145.0,May 2010,          5.3%        ,,
330,146.0,Apr 2010,          5.5%        ,,
331,147.0,Mar 2010,          6.0%        ,,
332,148.0,Feb 2010,          4.4%        ,,
333,149.0,Jan 2010,          4.6%        ,,
334,150.0,Dec 2009,          4.4%        ,,
335,151.0,Nov 2009,          2.4%        ,,
336,152.0,Oct 2009,          -1.9%        ,,
337,153.0,Sep 2009,          -4.8%        ,,
338,154.0,Aug 2009,          -4.3%        ,,
339,155.0,Jul 2009,          -6.8%        ,,
340,156.0,Jun 2009,          -4.6%        ,,
341,157.0,May 2009,          -5.0%        ,,
342,158.0,Apr 2009,          -3.7%        ,,
343,159.0,Mar 2009,          -3.5%        ,,
344,160.0,Feb 2009,          -1.3%        ,,
345,161.0,Jan 2009,          1.0%        ,,
346,162.0,Dec 2008,          -0.9%        ,,
347,163.0,Nov 2008,          0.4%        ,,
348,164.0,Oct 2008,          5.2%        ,,
349,165.0,Sep 2008,          8.7%        ,,
350,166.0,Aug 2008,          9.6%        ,,
351,167.0,Jul 2008,          9.8%        ,,
352,168.0,Jun 2008,          9.2%        ,,
353,169.0,May 2008,          7.2%        ,,
354,170.0,Apr 2008,          6.5%        ,,
355,171.0,Mar 2008,          6.9%        ,,
356,172.0,Feb 2008,          6.4%        ,,
357,173.0,Jan 2008,          7.4%        ,,
358,174.0,Dec 2007,          6.3%        ,,
359,175.0,Nov 2007,          7.2%        ,,
360,176.0,Oct 2007,          6.1%        ,,
361,177.0,Sep 2007,          4.4%        ,,
362,178.0,Aug 2007,          2.2%        ,,
363,179.0,Jul 2007,          4.0%        ,,
364,180.0,Jun 2007,          3.3%        ,,
365,181.0,May 2007,          4.1%        ,,
366,182.0,Apr 2007,          3.2%        ,,
367,183.0,Feb 2007,          3.2%        ,,
368,184.0,Jan 2007,          0.2%        ,,
369,0.0,Jun 2022,          11.3%        ,10.0%,
370,1.0,May 2022,          10.8%        ,11.1%,
371,2.0,Apr 2022,          11.0%        ,12.2%,
372,3.0,Mar 2022,          11.2%        ,9.4%,
373,4.0,Feb 2022,          10.0%        ,9.1%,
374,5.0,Jan 2022,          9.7%        ,10.1%,
375,6.0,Dec 2021,          9.7%        ,10.1%,
376,7.0,Nov 2021,          9.6%        ,8.3%,
377,8.0,Oct 2021,          8.6%        ,8.6%,
378,9.0,Sep 2021,          8.6%        ,8.7%,
379,10.0,Aug 2021,          8.3%        ,7.8%,
380,11.0,Jul 2021,          7.8%        ,7.3%,
381,12.0,Jun 2021,          7.3%        ,7.1%,
382,13.0,May 2021,          6.6%        ,7.2%,
383,14.0,Apr 2021,          6.2%        ,4.9%,
384,15.0,Mar 2021,          4.2%        ,3.7%,
385,16.0,Feb 2021,          2.8%        ,2.4%,
386,17.0,Jan 2021,          1.7%        ,0.7%,
387,18.0,Dec 2020,          0.8%        ,0.4%,
388,19.0,Nov 2020,          0.8%        ,1.0%,
389,20.0,Oct 2020,          0.5%        ,1.0%,
390,21.0,Sep 2020,          0.4%        ,-0.1%,
391,22.0,Aug 2020,          -0.2%        ,-0.3%,
392,23.0,Jul 2020,          -0.4%        ,-0.3%,
393,24.0,Jun 2020,          -0.8%        ,-1.0%,
394,25.0,May 2020,          -0.8%        ,-0.3%,
395,26.0,Apr 2020,          -1.2%        ,1.0%,
396,27.0,Mar 2020,          0.7%        ,1.0%,
397,28.0,Feb 2020,          1.3%        ,2.4%,
398,29.0,Jan 2020,          2.1%        ,1.6%,
399,30.0,Dec 2019,          1.3%        ,1.0%,
400,31.0,Nov 2019,          1.1%        ,0.4%,
401,32.0,Oct 2019,          1.1%        ,0.9%,
402,33.0,Sep 2019,          1.4%        ,2.2%,
403,34.0,Aug 2019,          1.8%        ,2.1%,
404,35.0,Jul 2019,          1.7%        ,1.2%,
405,36.0,Jun 2019,          1.7%        ,1.4%,
406,37.0,May 2019,          1.8%        ,2.2%,
407,38.0,Apr 2019,          2.2%        ,2.4%,
408,39.0,Mar 2019,          2.2%        ,1.6%,
409,40.0,Feb 2019,          1.9%        ,1.4%,
410,41.0,Jan 2019,          2.0%        ,2.0%,
411,42.0,Dec 2018,          2.5%        ,2.8%,
412,43.0,Nov 2018,          2.5%        ,2.6%,
413,44.0,Oct 2018,          2.9%        ,1.9%,
414,45.0,Sep 2018,          2.6%        ,2.5%,
415,46.0,Aug 2018,          2.8%        ,3.4%,
416,47.0,Jul 2018,          3.3%        ,3.2%,
417,48.0,Jun 2018,          3.4%        ,2.7%,
418,49.0,May 2018,          3.1%        ,2.7%,
419,50.0,Apr 2018,          2.6%        ,3.1%,
420,51.0,Mar 2018,          3.0%        ,2.7%,
421,52.0,Feb 2018,          2.8%        ,2.3%,
422,53.0,Jan 2018,          2.7%        ,2.2%,
423,54.0,Dec 2017,          2.6%        ,2.8%,
424,55.0,Nov 2017,          3.1%        ,3.0%,
425,56.0,Oct 2017,          2.8%        ,2.9%,
426,57.0,Sep 2017,          2.6%        ,2.6%,
427,58.0,Aug 2017,          2.4%        ,1.8%,
428,59.0,Jul 2017,          1.9%        ,1.7%,
429,60.0,Jun 2017,          2.0%        ,2.1%,
430,61.0,May 2017,          2.4%        ,2.6%,
431,62.0,Apr 2017,          2.5%        ,2.5%,
432,63.0,Mar 2017,          2.3%        ,,
433,64.0,Feb 2017,          2.2%        ,,
434,65.0,Jan 2017,          1.6%        ,,
435,66.0,Dec 2016,          1.6%        ,,
436,67.0,Nov 2016,          1.3%        ,,
437,68.0,Oct 2016,          0.8%        ,,
438,69.0,Sep 2016,          0.7%        ,,
439,70.0,Aug 2016,          0.0%        ,,
440,71.0,Jul 2016,          -0.2%        ,,
441,72.0,Jun 2016,          0.3%        ,,
442,73.0,May 2016,          -0.1%        ,,
443,74.0,Apr 2016,          0.0%        ,,
444,75.0,Mar 2016,          -0.1%        ,,
445,76.0,Feb 2016,          0.0%        ,,
446,77.0,Jan 2016,          -0.2%        ,,
447,78.0,Dec 2015,          -1.0%        ,,
448,79.0,Nov 2015,          -1.1%        ,,
449,80.0,Oct 2015,          -1.6%        ,,
450,81.0,Sep 2015,          -1.1%        ,,
451,82.0,Aug 2015,          -0.8%        ,,
452,83.0,Jul 2015,          -0.8%        ,,
453,84.0,Jun 2015,          -0.7%        ,,
454,85.0,May 2015,          -1.1%        ,,
455,86.0,Apr 2015,          -1.3%        ,,
456,87.0,Mar 2015,          -0.8%        ,,
457,88.0,Feb 2015,          -0.6%        ,,
458,89.0,Jan 2015,          0.0%        ,,
459,90.0,Dec 2014,          1.1%        ,,
460,91.0,Nov 2014,          1.4%        ,,
461,92.0,Oct 2014,          1.5%        ,,
462,93.0,Sep 2014,          1.6%        ,,
463,94.0,Aug 2014,          1.8%        ,,
464,95.0,Jul 2014,          1.7%        ,,
465,96.0,Jun 2014,          1.9%        ,,
466,97.0,May 2014,          2.0%        ,,
467,98.0,Apr 2014,          2.1%        ,,
468,99.0,Mar 2014,          1.4%        ,,
469,100.0,Feb 2014,          0.9%        ,,
470,101.0,Jan 2014,          1.2%        ,,
471,102.0,Dec 2013,          1.2%        ,,
472,103.0,Nov 2013,          0.7%        ,,
473,104.0,Oct 2013,          0.3%        ,,
474,105.0,Sep 2013,          0.3%        ,,
475,106.0,Aug 2013,          1.4%        ,,
476,107.0,Jul 2013,          2.1%        ,,
477,108.0,Jun 2013,          2.5%        ,,
478,109.0,May 2013,          1.7%        ,,
479,110.0,Apr 2013,          0.6%        ,,
480,111.0,Mar 2013,          1.1%        ,,
481,112.0,Feb 2013,          1.7%        ,,
482,113.0,Jan 2013,          1.4%        ,,
483,114.0,Dec 2012,          1.3%        ,,
484,115.0,Nov 2012,          1.5%        ,,
485,116.0,Oct 2012,          2.3%        ,,
486,117.0,Sep 2012,          2.1%        ,,
487,118.0,Aug 2012,          2.0%        ,,
488,119.0,Jul 2012,          0.5%        ,,
489,120.0,Jun 2012,          0.7%        ,,
490,121.0,May 2012,          0.7%        ,,
491,122.0,Apr 2012,          1.9%        ,,
492,123.0,Mar 2012,          2.8%        ,,
493,124.0,Feb 2012,          3.3%        ,,
494,125.0,Jan 2012,          4.1%        ,,
495,126.0,Dec 2011,          4.8%        ,,
496,127.0,Nov 2011,          5.7%        ,,
497,128.0,Oct 2011,          5.9%        ,,
498,129.0,Sep 2011,          6.9%        ,,
499,130.0,Aug 2011,          6.5%        ,,
500,131.0,Jul 2011,          7.2%        ,,
501,132.0,Jun 2011,          7.0%        ,,
502,133.0,May 2011,          7.3%        ,,
503,134.0,Apr 2011,          6.8%        ,,
504,135.0,Mar 2011,          5.8%        ,,
505,136.0,Feb 2011,          5.6%        ,,
506,137.0,Jan 2011,          3.6%        ,,
507,138.0,Dec 2010,          4.0%        ,,
508,139.0,Nov 2010,          3.5%        ,,
509,140.0,Oct 2010,          4.3%        ,,
510,141.0,Sep 2010,          4.0%        ,,
511,142.0,Aug 2010,          3.1%        ,,
512,143.0,Jul 2010,          4.2%        ,,
513,144.0,Jun 2010,          2.8%        ,,
514,145.0,May 2010,          5.3%        ,,
515,146.0,Apr 2010,          5.5%        ,,
516,147.0,Mar 2010,          6.0%        ,,
517,148.0,Feb 2010,          4.4%        ,,
518,149.0,Jan 2010,          4.6%        ,,
519,150.0,Dec 2009,          4.4%        ,,
520,151.0,Nov 2009,          2.4%        ,,
521,152.0,Oct 2009,          -1.9%        ,,
522,153.0,Sep 2009,          -4.8%        ,,
523,154.0,Aug 2009,          -4.3%        ,,
524,155.0,Jul 2009,          -6.8%        ,,
525,156.0,Jun 2009,          -4.6%        ,,
526,157.0,May 2009,          -5.0%        ,,
527,158.0,Apr 2009,          -3.7%        ,,
528,159.0,Mar 2009,          -3.5%        ,,
529,160.0,Feb 2009,          -1.3%        ,,
530,161.0,Jan 2009,          1.0%        ,,
531,162.0,Dec 2008,          -0.9%        ,,
532,163.0,Nov 2008,          0.4%        ,,
533,164.0,Oct 2008,          5.2%        ,,
534,165.0,Sep 2008,          8.7%        ,,
535,166.0,Aug 2008,          9.6%        ,,
536,167.0,Jul 2008,          9.8%        ,,
537,168.0,Jun 2008,          9.2%        ,,
538,169.0,May 2008,          7.2%        ,,
539,170.0,Apr 2008,          6.5%        ,,
540,171.0,Mar 2008,          6.9%        ,,
541,172.0,Feb 2008,          6.4%        ,,
542,173.0,Jan 2008,          7.4%        ,,
543,174.0,Dec 2007,          6.3%        ,,
544,175.0,Nov 2007,          7.2%        ,,
545,176.0,Oct 2007,          6.1%        ,,
546,177.0,Sep 2007,          4.4%        ,,
547,178.0,Aug 2007,          2.2%        ,,
548,179.0,Jul 2007,          4.0%        ,,
549,180.0,Jun 2007,          3.3%        ,,
550,181.0,May 2007,          4.1%        ,,
551,182.0,Apr 2007,          3.2%        ,,
552,183.0,Feb 2007,          3.2%        ,,
553,184.0,Jan 2007,          0.2%        ,,
554,0.0,Jun 2022,          11.3%        ,10.0%,
555,1.0,May 2022,          10.8%        ,11.1%,
556,2.0,Apr 2022,          11.0%        ,12.2%,
557,3.0,Mar 2022,          11.2%        ,9.4%,
558,4.0,Feb 2022,          10.0%        ,9.1%,
559,5.0,Jan 2022,          9.7%        ,10.1%,
560,6.0,Dec 2021,          9.7%        ,10.1%,
561,7.0,Nov 2021,          9.6%        ,8.3%,
562,8.0,Oct 2021,          8.6%        ,8.6%,
563,9.0,Sep 2021,          8.6%        ,8.7%,
564,10.0,Aug 2021,          8.3%        ,7.8%,
565,11.0,Jul 2021,          7.8%        ,7.3%,
566,12.0,Jun 2021,          7.3%        ,7.1%,
567,13.0,May 2021,          6.6%        ,7.2%,
568,14.0,Apr 2021,          6.2%        ,4.9%,
569,15.0,Mar 2021,          4.2%        ,3.7%,
