161,Jan 2009,          1.0%        ,,
162,Dec 2008,          -0.9%        ,,
163,Nov 2008,          0.4%        ,,
164,Oct 2008,          5.2%        ,,
165,Sep 2008,          8.7%        ,,
166,Aug 2008,          9.6%        ,,
167,Jul 2008,          9.8%        ,,
168,Jun 2008,          9.2%        ,,
169,May 2008,          7.2%        ,,
170,Apr 2008,          6.5%        ,,
171,Mar 2008,          6.9%        ,,
172,Feb 2008,          6.4%        ,,
173,Jan 2008,          7.4%        ,,
174,Dec 2007,          6.3%        ,,
175,Nov 2007,          7.2%        ,,
176,Oct 2007,          6.1%        ,,
177,Sep 2007,          4.4%        ,,
178,Aug 2007,          2.2%        ,,
179,Jul 2007,          4.0%        ,,
180,Jun 2007,          3.3%        ,,
181,May 2007,          4.1%        ,,
182,Apr 2007,          3.2%        ,,
183,Feb 2007,          3.2%        ,,
184,Jan 2007,          0.2%        ,,
185,Jun 2022,          9.1%        ,9.0%,
186,May 2022,          8.6%        ,8.2%,
187,Apr 2022,          8.3%        ,8.4%,
188,Mar 2022,          8.5%        ,7.9%,
189,Feb 2022,          7.9%        ,7.6%,
190,Jan 2022,          7.5%        ,7.2%,
191,Dec 2021,          7.0%        ,7.1%,
192,Nov 2021,          6.8%        ,6.5%,
193,Oct 2021,          6.2%        ,5.6%,
194,Sep 2021,          5.4%        ,5.3%,
195,Aug 2021,          5.3%        ,5.4%,
196,Jul 2021,          5.4%        ,5.4%,
197,Jun 2021,          5.4%        ,4.5%,
198,May 2021,          5.0%        ,4.8%,
199,Apr 2021,          4.2%        ,3.2%,
200,Mar 2021,          2.6%        ,1.8%,
201,Feb 2021,          1.7%        ,1.4%,
202,Jan 2021,          1.4%        ,2.0%,
203,Dec 2020,          1.4%        ,0.9%,
204,Nov 2020,          1.2%        ,0.7%,
205,Oct 2020,          1.2%        ,1.8%,
206,Sep 2020,          1.4%        ,1.4%,
207,Aug 2020,          1.3%        ,1.0%,
208,Jul 2020,          1.0%        ,1.1%,
209,Jun 2020,          0.6%        ,0.4%,
210,May 2020,          0.1%        ,-0.8%,
211,Apr 2020,          0.3%        ,0.7%,
212,Mar 2020,          1.5%        ,2.2%,
213,Feb 2020,          2.3%        ,2.4%,
214,Jan 2020,          2.5%        ,2.2%,
215,Dec 2019,          2.3%        ,2.1%,
216,Nov 2019,          2.1%        ,1.8%,
217,Oct 2019,          1.8%        ,1.8%,
218,Sep 2019,          1.7%        ,1.8%,
219,Aug 2019,          1.7%        ,1.4%,
220,Jul 2019,          1.8%        ,1.6%,
221,Jun 2019,          1.6%        ,1.5%,
222,May 2019,          1.8%        ,2.2%,
223,Apr 2019,          2.0%        ,1.6%,
224,Mar 2019,          1.9%        ,1.2%,
225,Feb 2019,          1.5%        ,1.4%,
226,Jan 2019,          1.6%        ,1.9%,
227,Dec 2018,          1.9%        ,2.2%,
228,Nov 2018,          2.2%        ,2.2%,
229,Oct 2018,          2.5%        ,1.9%,
230,Sep 2018,          2.3%        ,2.5%,
231,Aug 2018,          2.7%        ,2.7%,
232,Jul 2018,          2.9%        ,2.8%,
233,Jun 2018,          2.9%        ,3.2%,
234,May 2018,          2.8%        ,2.3%,
235,Apr 2018,          2.5%        ,2.6%,
236,Mar 2018,          2.4%        ,2.3%,
237,Feb 2018,          2.2%        ,2.1%,
238,Jan 2018,          2.1%        ,1.9%,
239,Dec 2017,          2.1%        ,1.9%,
240,Nov 2017,          2.2%        ,2.0%,
241,Oct 2017,          2.0%        ,2.7%,
242,Sep 2017,          2.2%        ,1.6%,
243,Aug 2017,          1.9%        ,1.7%,
244,Jul 2017,          1.7%        ,1.6%,
245,Jun 2017,          1.6%        ,1.3%,
246,May 2017,          1.9%        ,1.8%,
247,Apr 2017,          2.2%        ,1.9%,
248,Mar 2017,          2.4%        ,,
249,Feb 2017,          2.7%        ,,
250,Jan 2017,          2.5%        ,,
251,Dec 2016,          2.1%        ,,
252,Nov 2016,          1.7%        ,,
253,Oct 2016,          1.6%        ,,
254,Sep 2016,          1.5%        ,,
255,Aug 2016,          1.1%        ,,
256,Jul 2016,          0.8%        ,,
257,Jun 2016,          1.0%        ,,
258,May 2016,          1.0%        ,,
259,Apr 2016,          1.1%        ,,
260,Mar 2016,          0.9%        ,,
261,Feb 2016,          1.0%        ,,
262,Jan 2016,          1.4%        ,,
263,Dec 2015,          0.7%        ,,
264,Nov 2015,          0.5%        ,,
265,Oct 2015,          0.2%        ,,
266,Sep 2015,          0.0%        ,,
267,Aug 2015,          0.2%        ,,
268,Jul 2015,          0.2%        ,,
269,Jun 2015,          0.1%        ,,
270,May 2015,          0.0%        ,,
271,Apr 2015,          -0.2%        ,,
272,Mar 2015,          -0.1%        ,,
273,Feb 2015,          0.0%        ,,
274,Jan 2015,          -0.1%        ,,
275,Dec 2014,          0.8%        ,,
276,Nov 2014,          1.3%        ,,
277,Oct 2014,          1.7%        ,,
278,Sep 2014,          1.7%        ,,
279,Aug 2014,          1.7%        ,,
280,Jul 2014,          2.0%        ,,
281,Jun 2014,          2.1%        ,,
282,May 2014,          2.1%        ,,
283,Apr 2014,          2.0%        ,,
284,Mar 2014,          1.5%        ,,
285,Feb 2014,          1.1%        ,,
286,Jan 2014,          1.6%        ,,
287,Dec 2013,          1.5%        ,,
288,Nov 2013,          1.2%        ,,
289,Oct 2013,          1.0%        ,,
290,Sep 2013,          1.2%        ,,
291,Aug 2013,          1.5%        ,,
292,Jul 2013,          2.0%        ,,
293,Jun 2013,          1.8%        ,,
294,May 2013,          1.4%        ,,
295,Apr 2013,          1.1%        ,,
296,Mar 2013,          1.5%        ,,
297,Feb 2013,          2.0%        ,,
298,Jan 2013,          1.6%        ,,
299,Dec 2012,          1.7%        ,,
300,Nov 2012,          1.8%        ,,
301,Oct 2012,          2.2%        ,,
302,Sep 2012,          2.0%        ,,
303,Aug 2012,          1.7%        ,,
304,Jul 2012,          1.4%        ,,
305,Jun 2012,          1.7%        ,,
306,May 2012,          1.7%        ,,
307,Apr 2012,          2.3%        ,,
308,Mar 2012,          2.7%        ,,
309,Feb 2012,          2.9%        ,,
310,Jan 2012,          2.9%        ,,
311,Dec 2011,          3.0%        ,,
312,Nov 2011,          3.4%        ,,
313,Oct 2011,          3.5%        ,,
314,Sep 2011,          3.9%        ,,
315,Aug 2011,          3.8%        ,,
316,Jul 2011,          3.6%        ,,
317,Jun 2011,          3.6%        ,,
318,May 2011,          3.6%        ,,
319,Apr 2011,          3.2%        ,,
320,Mar 2011,          2.7%        ,,
321,Feb 2011,          2.1%        ,,
322,Jan 2011,          1.6%        ,,
323,Dec 2010,          1.5%        ,,
324,Nov 2010,          1.1%        ,,
325,Oct 2010,          1.2%        ,,
326,Sep 2010,          1.1%        ,,
327,Aug 2010,          1.1%        ,,
328,Jul 2010,          1.2%        ,,
329,Jun 2010,          1.1%        ,,
330,May 2010,          2.0%        ,,
331,Apr 2010,          2.2%        ,,
332,Mar 2010,          2.3%        ,,
333,Feb 2010,          2.1%        ,,
334,Jan 2010,          2.6%        ,,
335,Dec 2009,          2.7%        ,,
336,Nov 2009,          1.8%        ,,
337,Oct 2009,          -0.2%        ,,
338,Sep 2009,          -1.3%        ,,
339,Aug 2009,          -1.5%        ,,
340,Jul 2009,          -2.1%        ,,
341,Jun 2009,          -1.4%        ,,
342,May 2009,          -1.3%        ,,
343,Apr 2009,          -0.7%        ,,
344,Mar 2009,          -0.4%        ,,
345,Feb 2009,          0.2%        ,,
346,Jan 2009,          0.0%        ,,
347,Dec 2008,          0.1%        ,,
348,Nov 2008,          1.1%        ,,
349,Oct 2008,          3.7%        ,,
350,Sep 2008,          4.9%        ,,
351,Aug 2008,          5.4%        ,,
352,Jul 2008,          5.6%        ,,
353,Jun 2008,          5.0%        ,,
354,May 2008,          4.2%        ,,
355,Apr 2008,          3.9%        ,,
356,Mar 2008,          4.0%        ,,
357,Feb 2008,          4.0%        ,,
358,Jan 2008,          4.3%        ,,
359,Dec 2007,          4.1%        ,,
360,Nov 2007,          4.3%        ,,
361,Oct 2007,          3.5%        ,,
362,Sep 2007,          2.8%        ,,
363,Aug 2007,          2.0%        ,,
364,Jul 2007,          2.4%        ,,
365,Jun 2007,          2.7%        ,,
366,May 2007,          2.7%        ,,
367,Apr 2007,          2.6%        ,,
368,Mar 2007,          2.8%        ,,
369,Feb 2007,          2.4%        ,,
370,Jan 2007,          2.1%        ,,
371,Jul 2022,          52.8        ,54.6,          58.8        
372,Jun 2022,          53.0        ,55.8,          60.5        
373,May 2022,          56.1        ,56.3,          47.8        
374,Apr 2022,          55.4        ,57.9,          54.3        
375,Mar 2022,          57.1        ,58.2,
376,Feb 2022,          58.6        ,58.2,
377,Jan 2022,          57.6        ,60.0,
378,Dec 2021,          58.7        ,61.0,
379,Nov 2021,          61.1        ,61.0,
380,Oct 2021,          60.8        ,60.6,
381,Sep 2021,          61.1        ,59.8,
382,Aug 2021,          59.9        ,60.1,
383,Jul 2021,          59.5        ,61.0,
384,Jun 2021,          60.6        ,61.0,
385,May 2021,          61.2        ,62.8,
386,Apr 2021,          60.7        ,62.9,
387,Mar 2021,          64.7        ,59.8,
388,Feb 2021,          60.8        ,59.8,
389,Jan 2021,          58.7        ,59.2,
390,Dec 2020,          60.7        ,58.5,
391,Nov 2020,          57.5        ,57.4,
392,Oct 2020,          59.3        ,55.7,
393,Sep 2020,          55.4        ,50.9,
394,Aug 2020,          56.0        ,53.4,
395,Jul 2020,          54.2        ,48.4,
396,Jun 2020,          52.6        ,47.5,
397,May 2020,          43.1        ,48.5,
398,Apr 2020,          41.5        ,49.3,
399,Mar 2020,          49.1        ,48.8,
400,Feb 2020,          50.1        ,48.2,
401,Jan 2020,          50.9        ,47.9,
402,Dec 2019,          47.2        ,48.3,
403,Nov 2019,          48.1        ,48.9,
404,Oct 2019,          48.3        ,48.4,
405,Sep 2019,          47.8        ,50.1,
406,Aug 2019,          49.1        ,51.4,
407,Jul 2019,          51.2        ,51.9,
408,Jun 2019,          51.7        ,52.4,
409,May 2019,          52.1        ,54.1,
410,Apr 2019,          52.8        ,54.8,
411,Mar 2019,          55.3        ,55.4,
412,Feb 2019,          54.2        ,56.1,
413,Jan 2019,          56.6        ,53.3,
414,Dec 2018,          54.1        ,58.8,
415,Nov 2018,          59.3        ,58.8,
416,Oct 2018,          57.7        ,60.6,
417,Sep 2018,          59.8        ,62.7,
418,Aug 2018,          61.3        ,60.0,
419,Jul 2018,          58.1        ,59.7,
420,Jun 2018,          60.2        ,56.1,
421,May 2018,          58.7        ,53.7,          59.3        
422,Apr 2018,          57.3        ,58.5,
423,Mar 2018,          59.3        ,62.1,
424,Feb 2018,          60.8        ,60.8,
425,Jan 2018,          59.1        ,58.3,
426,Dec 2017,          59.7        ,56.1,
427,Nov 2017,          58.2        ,59.8,
428,Oct 2017,          58.7        ,62.1,
429,Sep 2017,          60.8        ,60.1,
430,Aug 2017,          58.8        ,57.4,
431,Jul 2017,          56.3        ,55.7,
432,Jun 2017,          57.8        ,53.0,
433,May 2017,          54.9        ,53.8,
434,Apr 2017,          54.8        ,,
435,Mar 2017,          57.2        ,,
436,Feb 2017,          57.7        ,,
437,Jan 2017,          56.0        ,,
438,Dec 2016,          54.7        ,,
439,Nov 2016,          53.2        ,,
440,Oct 2016,          51.9        ,,
441,Sep 2016,          51.5        ,,
442,Aug 2016,          49.4        ,,
443,Jul 2016,          52.6        ,,
444,Jun 2016,          53.2        ,,
445,May 2016,          51.3        ,,
446,Apr 2016,          50.8        ,,
447,Mar 2016,          51.8        ,,
448,Feb 2016,          49.5        ,,
449,Jan 2016,          48.2        ,,
450,Dec 2015,          48.2        ,,
451,Nov 2015,          48.6        ,,
452,Oct 2015,          50.1        ,,
453,Sep 2015,          50.2        ,,
454,Aug 2015,          51.1        ,,
455,Jul 2015,          52.7        ,,
456,Jun 2015,          53.5        ,,
457,May 2015,          52.8        ,,
458,Apr 2015,          51.5        ,,
459,Mar 2015,          51.5        ,,
460,Feb 2015,          52.9        ,,
461,Jan 2015,          53.5        ,,
462,Dec 2014,          55.5        ,,
463,Nov 2014,          58.7        ,,
464,Oct 2014,          59.0        ,,
465,Sep 2014,          56.6        ,,
466,Aug 2014,          59.0        ,,
467,Jul 2014,          57.1        ,,
468,Jun 2014,          55.3        ,,
469,May 2014,          55.4        ,,
470,Apr 2014,          54.9        ,,
471,Mar 2014,          53.7        ,,          50.7        
472,Feb 2014,          53.2        ,,          49.5        
473,Jan 2014,          51.3        ,,          51.5        
474,Dec 2013,          57.0        ,,          49.6        
475,Nov 2013,          57.3        ,,          49.8        
476,Oct 2013,          56.4        ,,          49.7        
477,Sep 2013,          56.2        ,,          53.5        
478,Aug 2013,          55.7        ,,          54.8        
479,Jul 2013,          55.4        ,,          53.4        
480,Jun 2013,          50.9        ,,          52.4        
481,May 2013,          49.0        ,,          53.9        
482,Apr 2013,          50.7        ,,
483,Mar 2013,          51.3        ,,
484,Feb 2013,          54.2        ,,
485,Jan 2013,          53.1        ,,
486,Dec 2012,          50.2        ,,
487,Nov 2012,          49.9        ,,
488,Oct 2012,          51.7        ,,
489,Sep 2012,          51.6        ,,
490,Aug 2012,          50.7        ,,
491,Jul 2012,          50.5        ,,
492,Jun 2012,          50.2        ,,
493,May 2012,          52.5        ,,
494,Apr 2012,          54.1        ,,
495,Mar 2012,          53.3        ,,
496,Feb 2012,          51.9        ,,
497,Jan 2012,          54.1        ,,
498,Dec 2011,          53.1        ,,
499,Nov 2011,          52.2        ,,
500,Oct 2011,          51.8        ,,
501,Sep 2011,          52.5        ,,
502,Aug 2011,          52.5        ,,
503,Jul 2011,          51.4        ,,
504,Jun 2011,          55.3        ,,
505,May 2011,          53.5        ,,
506,Apr 2011,          60.4        ,,
507,Mar 2011,          61.2        ,,
508,Feb 2011,          61.4        ,,
509,Jan 2011,          60.8        ,,
510,Dec 2010,          58.5        ,,
511,Nov 2010,          56.6        ,,
512,Oct 2010,          56.9        ,,
513,Sep 2010,          54.4        ,,
514,Aug 2010,          56.3        ,,
515,Jul 2010,          55.5        ,,
516,Jun 2010,          56.2        ,,
517,May 2010,          59.7        ,,
518,Apr 2010,          60.4        ,,
519,Mar 2010,          59.6        ,,
520,Feb 2010,          56.5        ,,
521,Jan 2010,          58.4        ,,          55.9        
522,Dec 2009,          54.9        ,,          47.7        
523,Nov 2009,          53.6        ,,
524,Oct 2009,          55.7        ,,
525,Sep 2009,          52.6        ,,
526,Aug 2009,          52.9        ,,
527,Jul 2009,          48.9        ,,
528,Jun 2009,          44.8        ,,
529,May 2009,          42.8        ,,
530,Apr 2009,          40.1        ,,
531,Mar 2009,          36.3        ,,
532,Feb 2009,          35.8        ,,
533,Jan 2009,          35.6        ,,
534,Dec 2008,          32.4        ,,
535,Nov 2008,          36.2        ,,
536,Oct 2008,          38.9        ,,
537,Sep 2008,          43.5        ,,
538,Aug 2008,          49.9        ,,
539,Jul 2008,          50.0        ,,
540,Jun 2008,          50.2        ,,
541,May 2008,          49.6        ,,
542,Apr 2008,          48.6        ,,
543,Mar 2008,          48.6        ,,
544,Feb 2008,          48.3        ,,
545,Jan 2008,          50.7        ,,
546,Dec 2007,          48.4        ,,
547,Nov 2007,          50.8        ,,
548,Oct 2007,          50.9        ,,
549,Sep 2007,          52.0        ,,
550,Aug 2007,          52.9        ,,
551,Jul 2007,          53.8        ,,
552,Jun 2007,          56.0        ,,
553,May 2007,          55.0        ,,
554,Apr 2007,          54.7        ,,
555,Mar 2007,          50.9        ,,
556,Feb 2007,          52.3        ,,
557,Jul 2022,          56.7        ,55.6,          62.3        
558,Jun 2022,          55.3        ,57.7,          57.7        
559,May 2022,          55.9        ,57.7,          54.9        
560,Apr 2022,          57.1        ,62.7,          58.0        
561,Mar 2022,          58.3        ,63.4,
562,Feb 2022,          56.5        ,65.6,
563,Jan 2022,          59.9        ,66.1,
564,Dec 2021,          62.0        ,65.8,
565,Nov 2021,          69.1        ,64.6,
566,Oct 2021,          66.7        ,63.8,
567,Sep 2021,          61.9        ,63.5,
568,Aug 2021,          61.7        ,63.1,
569,Jul 2021,          64.1        ,62.3,
570,Jun 2021,          60.1        ,62.0,
571,May 2021,          64.0        ,58.2,
572,Apr 2021,          62.7        ,57.4,
573,Mar 2021,          63.7        ,56.9,
574,Feb 2021,          55.3        ,55.3,
575,Jan 2021,          58.7        ,54.2,
576,Dec 2020,          57.2        ,53.3,
577,Nov 2020,          55.9        ,52.9,
578,Oct 2020,          56.6        ,52.3,
579,Sep 2020,          57.8        ,51.8,
580,Aug 2020,          56.9        ,52.7,
581,Jul 2020,          58.1        ,51.8,
582,Jun 2020,          57.1        ,51.7,
583,May 2020,          45.4        ,53.0,
584,Apr 2020,          41.8        ,54.8,
585,Mar 2020,          52.5        ,55.1,
586,Feb 2020,          57.3        ,54.5,
587,Jan 2020,          55.5        ,54.2,
588,Dec 2019,          55.0        ,54.4,
589,Nov 2019,          53.9        ,54.5,
590,Oct 2019,          54.7        ,54.8,
591,Sep 2019,          52.6        ,55.5,
592,Aug 2019,          56.4        ,55.7,
593,Jul 2019,          53.7        ,56.4,
594,Jun 2019,          55.1        ,57.1,
595,May 2019,          56.9        ,57.4,
596,Apr 2019,          55.5        ,58.0,
597,Mar 2019,          56.1        ,58.7,
598,Feb 2019,          59.7        ,58.7,
599,Jan 2019,          56.7        ,60.0,
600,Dec 2018,          57.6        ,60.8,
601,Nov 2018,          60.7        ,59.9,
602,Oct 2018,          60.3        ,58.5,
603,Sep 2018,          61.6        ,57.8,
604,Aug 2018,          58.5        ,58.0,
605,Jul 2018,          55.7        ,58.2,
606,Jun 2018,          59.1        ,58.2,
607,May 2018,          58.6        ,58.7,          56.0        
608,Apr 2018,          56.8        ,59.3,
609,Mar 2018,          58.8        ,58.4,
610,Feb 2018,          59.5        ,58.9,
611,Jan 2018,          59.9        ,58.8,
612,Dec 2017,          55.9        ,59.3,
613,Nov 2017,          57.4        ,60.3,
614,Oct 2017,          60.1        ,57.8,
615,Sep 2017,          59.8        ,55.8,
616,Aug 2017,          55.3        ,55.9,
617,Jul 2017,          53.9        ,56.9,
618,Jun 2017,          57.4        ,56.7,
619,May 2017,          56.9        ,55.9,
620,Apr 2017,          57.5        ,56.0,
621,Mar 2017,          55.2        ,,
622,Feb 2017,          57.6        ,,
623,Jan 2017,          56.5        ,,
624,Dec 2016,          57.2        ,,
625,Nov 2016,          57.2        ,,
626,Oct 2016,          54.8        ,,
627,Sep 2016,          57.1        ,,
628,Aug 2016,          51.4        ,,
629,Jul 2016,          55.5        ,,
630,Jun 2016,          56.5        ,,
631,May 2016,          52.9        ,,
632,Apr 2016,          55.7        ,,
633,Mar 2016,          54.5        ,,
634,Feb 2016,          53.4        ,,
635,Jan 2016,          53.5        ,,
636,Dec 2015,          55.3        ,,
637,Nov 2015,          55.9        ,,
638,Oct 2015,          59.1        ,,
639,Sep 2015,          56.9        ,,
640,Aug 2015,          59.0        ,,
641,Jul 2015,          60.3        ,,
642,Jun 2015,          56.0        ,,
643,May 2015,          55.7        ,,
644,Apr 2015,          57.8        ,,
645,Mar 2015,          56.5        ,,
646,Feb 2015,          56.9        ,,
647,Jan 2015,          56.7        ,,
648,Dec 2014,          56.2        ,,
649,Nov 2014,          59.3        ,,
650,Oct 2014,          57.1        ,,
651,Sep 2014,          58.6        ,,
652,Aug 2014,          59.6        ,,
653,Jul 2014,          58.7        ,,
654,Jun 2014,          56.0        ,,
655,May 2014,          56.3        ,,
656,Apr 2014,          55.2        ,,
657,Mar 2014,          53.1        ,,
658,Feb 2014,          51.6        ,,
659,Jan 2014,          54.0        ,,
660,Dec 2013,          53.0        ,,
661,Nov 2013,          53.9        ,,
662,Oct 2013,          55.4        ,,
663,Sep 2013,          54.4        ,,
664,Aug 2013,          58.6        ,,
665,Jul 2013,          56.0        ,,
666,Jun 2013,          52.2        ,,
667,May 2013,          53.7        ,,
668,Apr 2013,          53.1        ,,
669,Mar 2013,          54.4        ,,
670,Feb 2013,          56.0        ,,
671,Jan 2013,          55.2        ,,
672,Dec 2012,          56.1        ,,
673,Nov 2012,          54.7        ,,
674,Oct 2012,          54.2        ,,
675,Sep 2012,          55.1        ,,
676,Aug 2012,          53.7        ,,
677,Jul 2012,          52.6        ,,
678,Jun 2012,          52.1        ,,
679,May 2012,          53.7        ,,
680,Apr 2012,          53.5        ,,
681,Mar 2012,          56.0        ,,
682,Feb 2012,          57.3        ,,
683,Jan 2012,          56.8        ,,
684,Dec 2011,          52.6        ,,
685,Nov 2011,          52.0        ,,
686,Oct 2011,          52.9        ,,
687,Sep 2011,          53.0        ,,
688,Aug 2011,          53.3        ,,
689,Jul 2011,          52.7        ,,
690,Jun 2011,          53.3        ,,
691,May 2011,          54.6        ,,
692,Apr 2011,          52.8        ,,
693,Mar 2011,          57.3        ,,
694,Feb 2011,          59.7        ,,
695,Jan 2011,          59.4        ,,
696,Dec 2010,          57.1        ,,
697,Nov 2010,          55.0        ,,
698,Oct 2010,          54.3        ,,
699,Sep 2010,          53.2        ,,
700,Aug 2010,          51.5        ,,
701,Jul 2010,          54.3        ,,
702,Jun 2010,          53.8        ,,
703,May 2010,          55.4        ,,
704,Apr 2010,          55.4        ,,
